From,Subject,Snippet,Labels,Has Attachments,Message Length
AddViseo <noreply@addviseo.com>,[AddViseo] - Convocation entretien de finalisation,"Avec AddViseo, restez informé où que vous soyez ! Logo Bonjour MELANIE PICOT Dans le cadre de la prestation EMS, votre consultant M Jean Daniel BERNARD vous fait parvenir ce rappel. 16 mai Rappel :","['IMPORTANT', 'CATEGORY_UPDATES', 'INBOX']",True,36431
LinkedIn <jobs-listings@linkedin.com>,Ingénieur de recherche en Intelligence Artificielle pour la prévision du temps F/H chez METEO FRANCE et d’autres postes à pourvoir,Vos compétences semblent correspondre à ce poste ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏,"['CATEGORY_SOCIAL', 'INBOX']",True,158786
signature-maif@contralia.fr,Signature de vos documents MAIF,"Maif - maif.fr Maif.fr Signature électronique Votre référence : 4358372K Cher(e) MELANIE PICOT, Vos documents sont désormais signés et nous vous en remercions. Le cas échéant, vous trouverez en pièce","['IMPORTANT', 'CATEGORY_PERSONAL', 'INBOX']",True,72402
<ramonville.saint-agne@maif.fr>,Soc : 4358372K - Vos documents demandés,"Bonjour, Veuillez trouver ci-joint les documents que vous nous avez demandés : - Mémo véhicule assuré - DX-052-VG - Attestation VAM - DX-052-VG La visualisation des fichiers PDF nécessite Adobe Reader.","['CATEGORY_PERSONAL', 'INBOX']",True,290
signature-maif@contralia.fr,Signature de vos documents MAIF,"Maif - maif.fr Maif.fr Signature électronique Votre référence : 4358372K Cher(e) MELANIE PICOT, Pour signer vos documents, rendez-vous dans votre espace de signature unique et sécurisé : Accéder à","['IMPORTANT', 'CATEGORY_PERSONAL', 'INBOX']",True,81565
no-reply@education.gouv.fr,Participez à l'enquête sur l'insertion professionnelle des docteur-e-s !,"English version below ​ Bonjour, Nous vous recontactons à propos de l&#39;enquête insertion professionnelle des docteurs de Toulouse. Merci de prendre 10 minutes pour répondre à notre questionnaire. Le","['IMPORTANT', 'CATEGORY_PERSONAL', 'INBOX']",True,10184
Christophe ROUSSE <pierrefabre@myworkday.com>,Votre candidature au sein du groupe Pierre Fabre ,"Bonjour ​Mélanie Picot​ , Nous nous permettons de revenir vers vous à l&#39;issue de notre dernier échange, au regard de l&#39;opportunité : JR105433 Data Analyst - Alternance - H/F (Ouverte). Nous","['IMPORTANT', 'CATEGORY_PERSONAL', 'INBOX']",True,5789
Alertes LinkedIn Jobs <jobalerts-noreply@linkedin.com>,“Analyste de données” : Eurécia - Data Analyst (H/F) et plus encore,Eurécia et d&#39;autres entreprises proposent des postes qui correspondent à vos préférences ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏,"['CATEGORY_UPDATES', 'INBOX']",True,132708
Doctorat <noreply@adum.fr>,sylvia.bouaskeur@univ-tlse3.fr Lancement de l'enquête IP Doc,"English below Bonjour à tous et toutes, Comme chaque année, l&#39;École des Docteurs de Toulouse en partenariat avec [nom de votre ED] et le ministère de l&#39;enseignement supérieur, mène une enquête","['CATEGORY_UPDATES', 'INBOX']",False,5142
Carrefour <carrefour@services.carrefour.fr>,📄 Votre facture Carrefour,"Bonjour Mélanie, Merci d&#39;avoir fait vos courses chez Carrefour Récapitulatif de votre commande n° 626721119 Lun. 29 avr. 10h00 - 11h00 Adresse de livraison 6 ALLEE DU LIEUTENANT LUCIEN LAFAY 31400","['IMPORTANT', 'CATEGORY_UPDATES', 'INBOX']",True,31105
Carrefour <carrefour@services.carrefour.fr>,🚚 Votre commande part en livraison !,"Bonne nouvelle Mélanie, Vos courses sont prêtes ! Malgré tous nos efforts, un ou plusieurs produit(s) n&#39;étai(en)t plus disponible(s) lors de la préparation de votre commande. Quand cela était","['CATEGORY_UPDATES', 'INBOX']",True,45450
Alertes LinkedIn Jobs <jobalerts-noreply@linkedin.com>,2 nouvelles offres d’emploi pour “data”,Voir les offres d&#39;emploi - Toulouse ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏,"['CATEGORY_UPDATES', 'INBOX']",True,126658
Prestation Pole Emploi <votre-rendez-vous@aksis.fr>,Confirmation de rendez-vous,"Bonjour MELANIE PICOT, Vous avez une demande de signature pour le rendez-vous : Additionnel Vous avez assisté à un rendez-vous, en date du 26-04-2024 de 16h00 à 16h20. Pour confirmer votre présence,","['IMPORTANT', 'CATEGORY_UPDATES', 'INBOX']",True,2390
Alertes LinkedIn Jobs <jobalerts-noreply@linkedin.com>,“Analyste de données” : Voscours.fr - Analyste de Données pour Enseigner les Mathématiques H/F,Analyste de Données pour Enseigner les Mathématiques H/F chez Voscours.fr : 1&amp;nbsp;ancien camarade de classe qui travaille ici pourrait potentiellement vous aider dans votre recherche d&#39;emploi,"['CATEGORY_UPDATES', 'INBOX']",True,114471
LinkedIn <jobs-listings@linkedin.com>,ALT 2024 - Appenti(e) en Analyse de Données (f/h) chez Airbus et d’autres postes à pourvoir,Votre profil correspond peut-être à l&#39;offre de ALT 2024 - Appenti(e) en Analyse de Données (f/h) chez Airbus ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏,"['CATEGORY_SOCIAL', 'INBOX']",True,160473
"""Airbus Human Resources (Do Not Reply)"" <ag@myworkday.com>",AIRBUS - Le statut de votre candidature a été mis à jour,"Objet : Mélanie Picot ‎- JR10251541 ALT2024 - Apprenti(e) Customer Care Centre Data Scientist (f/h) (CAND11743411) Cher(e) Mélanie Picot , Merci pour votre candidature au poste de ALT2024 - Apprenti(e)","['IMPORTANT', 'CATEGORY_PERSONAL', 'INBOX']",True,5739
Marine Marseillac <invitations@linkedin.com>,Je vous ai envoyé une demande de connexion,"Mélanie, répondez à l&#39;invitation de Marine maintenant. ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏","['IMPORTANT', 'CATEGORY_SOCIAL', 'INBOX']",True,154689
Greenpeace France <ne-pas-repondre@greenpeace.fr>,Greenpeace - Confirmation de l'augmentation de votre soutien,"Merci pour votre soutien ! Greenpeace Bonjour MELANIE, Je tiens tout d&#39;abord à vous remercier pour votre accueil lors de l&#39;entretien téléphonique que vous avez eu avec nos équipes et surtout de","['CATEGORY_PERSONAL', 'INBOX']",True,24218
Melina Tedesco <invitations@linkedin.com>,Je vous ai envoyé une demande de connexion,"Mélanie, répondez à l&#39;invitation de Melina maintenant. ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏","['CATEGORY_SOCIAL', 'INBOX']",True,154609
Alertes LinkedIn Jobs <jobalerts-noreply@linkedin.com>,“Analyste de données” : Airbus - ALT 2024 - Apprenti(e) data analyst et gestion de projets stratégiques (f/h) et plus encore,ALT 2024 - Apprenti(e) data analyst et gestion de projets stratégiques (f/h) chez Airbus : Job DescriptionEnvie de déployer vos ailes ? Et… ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏,"['CATEGORY_UPDATES', 'INBOX']",True,131275
Julien Viaud <julien.viaud@inserm.fr>,TR: PNAS MS# 2022-17971RRR Decision Notification,"Bonjour tout le monde, J&#39;ai le plaisir de vous annoncer que notre article a été accepté pour publication à PNAS. C&#39;est une excellente nouvelle qui témoigne de la qualité de notre travail et de","['IMPORTANT', 'CATEGORY_PERSONAL', 'INBOX']",True,3324
France Travail <pole-emploi@noreply-pole-emploi.fr>,Rencontres emploi-formation-entreprenariat du 23 avril 2024,"France Travail Candidat Bonjour, Vous êtes convié aux rencontres emploi formation entreprenariat du 23 Avril de 9h à 12h salle Albert Camus à Cugnaux. Lors de nos prochaines RENCONTRES EMPLOI /","['IMPORTANT', 'CATEGORY_UPDATES', 'INBOX']",True,9499
YOANN KUBIAK <yoann.kubiak@airbus.com>,Invitation (expéditeur inconnu): [Entretien] Mélanie PICOT - Data Analyst [JR10251541] - lun. 22 avr. 2024 2pm - 3pm (UTC+2) (melanie.picot01@gmail.com),[Entretien] Mélanie PICOT - Data Analyst [JR10251541] Expéditeur inconnu Cet événement provenant de yoann.kubiak@airbus.com apparaîtra dans votre agenda uniquement si vous confirmez connaître cette,"['IMPORTANT', 'CATEGORY_PERSONAL', 'INBOX']",True,38994
HelloWork <emploi@emails.hellowork.com>,Votre candidature au poste de Alternance - Data Analyste - Data Engineer H/F,Suivi de votre candidature ‌ ‌ ‌ ‌&amp;n bsp;‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌,"['IMPORTANT', 'CATEGORY_UPDATES', 'INBOX']",False,63115
Epitech <mscpro-toulouse@epitech.eu>,Epitech : l'actu du Programme MSc Pro Toulouse en un clic,Consulter cet email en ligne Epitech : Oui à la Tech ! Epitech • Avril 2024 Epitech : les femmes dans la tech LES FEMMES DANS LA TECH Quand Sidetrade et des étudiants d&#39;Epitech se rencontrent pour,"['CATEGORY_PERSONAL', 'INBOX']",True,58096
Alertes LinkedIn Jobs <jobalerts-noreply@linkedin.com>,“Analyste de données” : OpenClassrooms - Data Analyst - (H/F) - En alternance et plus encore,Data Analyst - (H/F) - En alternance chez OpenClassrooms : Description Du PosteApprenez un métier d&#39;avenir… ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏,"['CATEGORY_UPDATES', 'INBOX']",True,122625
France Travail <pole-emploi@noreply-pole-emploi.fr>,JobsTIC Labège 25/04 : Le Numérique recrute,"France Travail Candidat Bonjour MELANIE , Tu souhaites en savoir plus sur le secteur du Numérique et comment ça recrute ? Tu es déjà formé(e) et tu es à la recherche d&#39;opportunités dans le","['IMPORTANT', 'CATEGORY_UPDATES', 'INBOX']",True,12452
France Travail <pole-emploi@noreply-pole-emploi.fr>,"Faites vous recruter autrement en participant au stade vers l'emploi ""Volley Ball""","France Travail Candidat Bonjour, Prêts ? Partez ! Prochaine journée &quot;du Stade vers l&#39;Emploi&quot;, Mardi 30 Avril, avec les Spacer&#39;s Toulouse Volley ߏ « Du Stade Vers l&#39;Emploi », une","['CATEGORY_UPDATES', 'INBOX']",False,47861
France Travail <pole-emploi@noreply-pole-emploi.fr>,La Newsletter du Numérique,Pour ouvrir la Newsletter cliquez ici,"['CATEGORY_UPDATES', 'INBOX']",False,902
France Travail <pole-emploi@noreply-pole-emploi.fr>,La Newsletter du Numérique,Pour ouvrir la Newsletter cliquez ici,"['CATEGORY_UPDATES', 'INBOX']",False,898
"""Équipe de recrutement de Sopra Steria"" <notifications@careers.soprasteria.com>","Votre candidature au poste de Alternance – Ingénieur(e) Big Data, Python, SQL, AWS – Aéronautique - Toulouse","​​​​​​​​​​ Bonjour Mélanie, Nous avons étudié avec attention votre candidature au poste de Alternance – Ingénieur(e) Big Data, Python, SQL, AWS – Aéronautique - Toulouse. A ce jour, celle-ci ne","['IMPORTANT', 'CATEGORY_UPDATES', 'INBOX']",True,5105
"""Direction générale des Finances publiques"" <ne-pas-repondre@dgfip.finances.gouv.fr>","Déclaration de vos revenus 2023 : attention, vous avez une action à faire cette année !","Déclaration de vos revenus 2023 : attention, vous avez une action à faire cette année ! Bonjour Melanie PICOT, En 2023, vous n&#39;avez effectué aucune démarche pour déclarer vos revenus, car vous avez","['IMPORTANT', 'CATEGORY_PERSONAL', 'INBOX']",True,23243
LinkedIn <jobs-listings@linkedin.com>,Poste de Alternance : Data Engineer F/H chez LesJeudis : faites partie des 15&nbsp;premiers candidats,Vos compétences semblent correspondre à ce poste ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏,"['CATEGORY_SOCIAL', 'INBOX']",True,159975
"""Intermarché"" <intermarche@infos.intermarche.com>",Bonne nouvelle : votre commande est prête !,"Pour recevoir nos messages, ajoutez l&#39;adresse,intermarche@infos.intermarche.com à votre carnet d&#39;adresses. Si vous ne visualisez pas correctement le contenu, cliquez-ici. Intermarché Vos","['CATEGORY_UPDATES', 'INBOX']",True,171080
Thales Group <recruiting@jobalerts.thalesgroup.com>,Thank you for applying,"Banner Image Dear Mélanie, We have received your application for the position of Alternance – Data Analyst et Data Scientist – F/H and are currently reviewing your experience and qualifications. We","['IMPORTANT', 'CATEGORY_UPDATES', 'INBOX']",True,13120
Sopra Steria <campaigns@sr.smartrecruiters.app>,Votre candidature spontanée chez Sopra Steria Group,"​​​​​​​​​​ Bonjour, Nous avons étudié avec attention votre candidature et malgré les qualités de cette dernière, votre profil ne correspond malheureusement pas aux opportunités ouvertes actuellement.","['CATEGORY_UPDATES', 'INBOX']",True,9720
Evotec Global Talent Acquisition <talent@evotec.com>,Re: Candidature spontannée alternance DataScience (PhD Biologie cellulaire),"Dear Mélanie, thank you very much for your interest in our company and the trust you have placed in us. Evotec is quite a huge company. Current job advertisements and possible trainee requirements can","['IMPORTANT', 'CATEGORY_PERSONAL', 'INBOX']",True,13335
Pages <jobs-noreply@linkedin.com>,"Mélanie, postulez maintenant pour le poste de “Alternance – Data Analyst et Data Scientist – F/H chez Thales”",Postuler à vos offres d&#39;emploi enregistrées ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌,"['CATEGORY_UPDATES', 'INBOX']",True,29651
"""Raphaël via leboncoin"" <xjrhlddclf444rrg@messagerie.leboncoin.fr>","Nouveau message pour ""Canapé d'angle BUT MALAGA2 Noir"" sur leboncoin","Bonjour Mélanie, Vous avez un nouveau message. Canapé d&#39;angle BUT MALAGA2 Noir (https://www.leboncoin.fr/ameublement/2588147257.htm) Raphaël « Ok ça marche merci beaucoup » (https://www.leboncoin.","['IMPORTANT', 'CATEGORY_PERSONAL', 'INBOX']",True,52927
"""Raphaël via leboncoin"" <xjrhlddclf444rrg@messagerie.leboncoin.fr>","Nouveau message pour ""Canapé d'angle BUT MALAGA2 Noir"" sur leboncoin","Bonjour Mélanie, Vous avez un nouveau message. Canapé d&#39;angle BUT MALAGA2 Noir (https://www.leboncoin.fr/ameublement/2588147257.htm) Raphaël « toujours disponible » (https://www.leboncoin.fr/","['IMPORTANT', 'CATEGORY_PERSONAL', 'INBOX']",True,50019
"""Raphaël via leboncoin"" <xjrhlddclf444rrg@messagerie.leboncoin.fr>","Nouveau message pour ""Canapé d'angle BUT MALAGA2 Noir"" sur leboncoin","Bonjour Mélanie, Vous avez un nouveau message. Canapé d&#39;angle BUT MALAGA2 Noir (https://www.leboncoin.fr/ameublement/2588147257.htm) Raphaël « Bonjour alors est-ce que » (https://www.leboncoin.fr/","['IMPORTANT', 'CATEGORY_PERSONAL', 'INBOX']",True,48692
Air France pour MELANIE LOLA PICOT <check-in@service-airfrance.com>,Enregistrez-vous pour votre voyage vers Toulouse du 14/04/2024,Air France - Skyteam Paris - Toulouse Départ le 14/04/2024. à 20:30. Référence de réservation LU8K2I Ticket Détail de vos vols - VOTRE CARTE D&#39;EMBARQUEMENT Ce document est indispensable pour,"['IMPORTANT', 'CATEGORY_UPDATES', 'INBOX']",True,244247
Air France pour JEAN PHILIPPE MAZZIA <check-in@service-airfrance.com>,Enregistrez-vous pour votre voyage vers Toulouse du 14/04/2024,Air France - Skyteam Paris - Toulouse Départ le 14/04/2024. à 20:30. Référence de réservation LU8K2I Ticket Détail de vos vols - VOTRE CARTE D&#39;EMBARQUEMENT Ce document est indispensable pour,"['IMPORTANT', 'CATEGORY_UPDATES', 'INBOX']",True,244250
HelloWork <emploi@emails.hellowork.com>,Votre candidature au poste de Alternance - Ingénieur Big Data Python SQL Aws - Aéronautique - Toulouse H/F,Suivi de votre candidature ‌ ‌ ‌ ‌&amp;n bsp;‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌,"['IMPORTANT', 'CATEGORY_UPDATES', 'INBOX']",False,63159
Alertes LinkedIn Jobs <jobalerts-noreply@linkedin.com>,“Analyste de données” : Thales - Alternance – Data Analyst et Data Scientist – F/H,Alternance – Data Analyst et Data Scientist – F/H chez Thales : QUI SOMMES-NOUS ?Acteur spatial mondialement… ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏,"['IMPORTANT', 'CATEGORY_UPDATES', 'INBOX']",True,112824
Air France Customer Satisfaction <noreply@qemailserver.com>,Merci d'évaluer votre vol Air France au départ de Toulouse et à destination de Paris,"&lt;&gt; D&#39;autres langues seront disponibles lorsque vous lancerez l&#39;enquête. Votre vol entre Toulouse et Paris VOTRE EXPÉRIENCE EST IMPORTANTE POUR NOUS Cher/Chère MELANIE LOLA PICOT, Nous","['CATEGORY_UPDATES', 'INBOX']",True,36310
pierrefabre@myworkday.com,Sollicitation pour un entretien,Nous avons le plaisir de vous informer que vous avez été sollicité pour un entretien. Talent acquisition department Processus de gestion : Entretien : Mélanie Picot ‎- JR105433 Data Analyst -,"['IMPORTANT', 'CATEGORY_PERSONAL', 'INBOX']",True,4617
Prestation Pole Emploi <votre-rendez-vous@aksis.fr>,Confirmation de rendez-vous,"Bonjour MELANIE PICOT, Vous avez une demande de signature pour le rendez-vous : Additionnel Vous avez assisté à un rendez-vous, en date du 12-04-2024 de 14h50 à 15h10. Pour confirmer votre présence,","['IMPORTANT', 'CATEGORY_UPDATES', 'INBOX']",True,2390
Jean-Daniel BERNARD <jd.bernard@osengo.fr>,Simulation Entretien Embauche,________________________________________________________________________________ Microsoft Teams Besoin d&#39;aide ? Rejoindre la réunion maintenant ID de réunion : 324 967 157 278 Code secret : UFYZzo,"['IMPORTANT', 'CATEGORY_PERSONAL', 'INBOX']",True,7177
AddViseo <noreply@addviseo.com>,[AddViseo] - Votre CV a été validé,"Avec AddViseo, restez informé où que vous soyez ! Logo Bonjour MELANIE PICOT Votre consultant(e) a validé votre CV &quot; CV_Mélanie_Picot.pdf &quot; que vous avez ajouté le 21/03/2024. Et maintenant,","['IMPORTANT', 'CATEGORY_UPDATES', 'INBOX']",True,28228
Alertes LinkedIn Jobs <jobalerts-noreply@linkedin.com>,“Analyste de données” : Eurécia - Data Analyst (H/F),Data Analyst (H/F) chez Eurécia : À propos d&#39;EuréciaEnvie de vivre une expérience… ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏,"['CATEGORY_UPDATES', 'INBOX']",True,112661
"""Raphaël via leboncoin"" <xjrhlddclf444rrg@messagerie.leboncoin.fr>","Nouveau message pour ""Canapé d'angle BUT MALAGA2 Noir"" sur leboncoin","Bonjour Mélanie, Vous avez un nouveau message. Canapé d&#39;angle BUT MALAGA2 Noir (https://www.leboncoin.fr/ameublement/2588147257.htm) Raphaël « Ok ça marche merci » (https://www.leboncoin.fr/","['CATEGORY_PERSONAL', 'INBOX']",True,47333
ROUSSE Christophe <christophe.rousse@pierre-fabre.com>,RE: Votre candidature au poste de Data Analyst en Alternance (JR105433),"Bonjour, Merci pour votre retour rapide. Vous trouverez ci-dessous le lien TEAMS pour la visioconférence et, en pièce jointe, le questionnaire qui constituera le canevas de notre discussion. Vous en","['IMPORTANT', 'CATEGORY_PERSONAL', 'INBOX']",True,14655
ROUSSE Christophe <christophe.rousse@pierre-fabre.com>,Votre candidature au poste de Data Analyst en Alternance (JR105433),"Bonjour, Vous avez postulé à l&#39;offre citée en objet. Je vous propose de nous rencontrer lors d&#39;un entretien en visioconférence pour en discuter. Voici les créneaux que je peux vous proposer","['CATEGORY_PERSONAL', 'INBOX']",True,9169
Valentin via leboncoin <2dwtg69xc9z48wdf@messagerie.leboncoin.fr>,"Nouveau message pour ""Canapé d'angle BUT MALAGA2 Noir"" sur leboncoin","Bonjour Mélanie, Vous avez un nouveau message. Canapé d&#39;angle BUT MALAGA2 Noir (https://www.leboncoin.fr/ameublement/2588147257.htm) Valentin « Bonsoir ! Désolé du temps de réponse, mais on a","['IMPORTANT', 'CATEGORY_PERSONAL', 'INBOX']",True,59897
Air France pour JEAN PHILIPPE MAZZIA <check-in@service-airfrance.com>,Enregistrez-vous pour votre voyage vers Paris du 12/04/2024,Air France - Skyteam Toulouse - Paris Départ le 12/04/2024. à 16:00. Référence de réservation LU8K2I Ticket Détail de vos vols - VOTRE CARTE D&#39;EMBARQUEMENT Ce document est indispensable pour,"['CATEGORY_UPDATES', 'INBOX']",True,243927
Air France pour MELANIE LOLA PICOT <check-in@service-airfrance.com>,Enregistrez-vous pour votre voyage vers Paris du 12/04/2024,Air France - Skyteam Toulouse - Paris Départ le 12/04/2024. à 16:00. Référence de réservation LU8K2I Ticket Détail de vos vols - VOTRE CARTE D&#39;EMBARQUEMENT Ce document est indispensable pour,"['CATEGORY_UPDATES', 'INBOX']",True,243924
Smartr <notifications@smartr.me>,"Mélanie, cliquez pour activer votre compte Smartr.","Voici comment démarrer Bonjour Mélanie, Cliquez ici pour confirmer votre inscription à Smartr. Vérification de l&#39;adresse e-mail. Laissez-vous guider par Smartr tout au long du processus d&#39;","['IMPORTANT', 'CATEGORY_UPDATES', 'INBOX']",True,9684
Sopra Steria <notification@careers.soprasteria.com>,"Mélanie, merci pour votre candidature !","Chèr(e) Mélanie, Nous accusons bonne réception de votre candidature et vous remercions de l&#39;intérêt que vous portez à nos opportunités de carrière chez Sopra Steria ! Notre entreprise offre un","['IMPORTANT', 'CATEGORY_PERSONAL', 'INBOX']",True,5722
Alertes LinkedIn Jobs <jobalerts-noreply@linkedin.com>,“Analyste de données” : Airbus - Apprenti(e) Data Analyst/ Département Cabin & Cargo Improvement (f/h) et plus encore,Apprenti(e) Data Analyst/ Département Cabin &amp; Cargo Improvement (f/h) chez Airbus : Job DescriptionEnvie de déployer vos ailes ? Et… ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏,"['CATEGORY_UPDATES', 'INBOX']",True,131678
pierrefabre@myworkday.com,Data Analyst - Alternance - H/F - Pierre Fabre,"Bonjour, Nous vous remercions pour votre candidature à l&#39;offre d&#39;emploi : Data Analyst - Alternance - H/F ainsi que pour l&#39;intérêt que vous portez au groupe Pierre Fabre. Votre candidature","['CATEGORY_PERSONAL', 'INBOX']",True,4514
